,fraction or g/ml ,"V/V, W/V, Dry (undiluted or 100%)",,,M/F,(in days)(average value in case range is reported),(in hours)(average in case range is reported),,,(original)(spikes/second),(sfr subtracted or not),(response of solvent or control subtracted in case sfr not subtracted or reported),
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-2,yes,-2,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr3,Carey2010,-3,yes,-3,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-4,yes,-4,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,2,yes,2,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-4,yes,-4,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-2,yes,-2,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,6,yes,6,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-3,yes,-3,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-2,yes,-2,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-1,yes,-1,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,3,yes,3,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,5,yes,5,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,5,yes,5,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-11,yes,-11,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-15,yes,-15,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-5,yes,-5,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,12,yes,12,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-6,yes,-6,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,5,yes,5,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-1,yes,-1,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-18,yes,-18,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-14,yes,-14,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-19,yes,-19,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-1,yes,-1,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-13,yes,-13,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,6,yes,6,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-23,yes,-23,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-7,yes,-7,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-2,yes,-2,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-5,yes,-5,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,3,yes,3,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-22,yes,-22,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-17,yes,-17,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-7,yes,-7,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-17,yes,-17,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-2,yes,-2,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-5,yes,-5,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-11,yes,-11,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-8,yes,-8,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-3,yes,-3,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,2,yes,2,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,2,yes,2,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-7,yes,-7,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-5,yes,-5,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-3,yes,-3,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,2,yes,2,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-9,yes,-9,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,0,yes,0,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-5,yes,-5,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,0,yes,0,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,4,yes,4,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr3,Carey2010,3,yes,3,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,2,yes,2,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-13,yes,-13,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-20,yes,-20,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,5,yes,5,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-8,yes,-8,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-9,yes,-9,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-10,yes,-10,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-11,yes,-11,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-24,yes,-24,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-23,yes,-23,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-13,yes,-13,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-13,yes,-13,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-11,yes,-11,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-7,yes,-7,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-5,yes,-5,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-10,yes,-10,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-21,yes,-21,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-13,yes,-13,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-13,yes,-13,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-14,yes,-14,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,10,yes,10,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-5,yes,-5,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,4,yes,4,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,3,yes,3,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-6,yes,-6,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,-2,yes,-2,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr3,Carey2010,0,yes,0,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr3,Carey2010,-7,yes,-7,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr3,Carey2010,0,yes,0,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr3,Carey2010,1,yes,1,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr4,Carey2010,1,yes,1,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr4,Carey2010,1,yes,1,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr4,Carey2010,3,yes,3,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,1,yes,1,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,0,yes,0,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr4,Carey2010,5,yes,5,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr4,Carey2010,6,yes,6,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr4,Carey2010,6,yes,6,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,8,yes,8,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,11,yes,11,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,3,yes,3,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,-1,yes,-1,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,1,yes,1,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,2,yes,2,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,2,yes,2,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,1,yes,1,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,2,yes,2,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr4,Carey2010,2,yes,2,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr4,Carey2010,1,yes,1,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr4,Carey2010,-1,yes,-1,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,9,yes,9,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr4,Carey2010,6,yes,6,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,36,yes,36,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr4,Carey2010,15,yes,15,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,19,yes,19,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr4,Carey2010,3,yes,3,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,2,yes,2,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,0,yes,0,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,-2,yes,-2,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,35,yes,35,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,11,yes,11,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,0,yes,0,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,14,yes,14,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,19,yes,19,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,21,yes,21,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,1,yes,1,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,20,yes,20,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,-6,yes,-6,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,39,yes,39,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,88,yes,88,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,28,yes,28,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,5,yes,5,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,0,yes,0,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,98,yes,98,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,2,yes,2,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,17,yes,17,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,112,yes,112,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,65,yes,65,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,45,yes,45,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,77,yes,77,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,2,yes,2,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,25,yes,25,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,40,yes,40,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,23,yes,23,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,38,yes,38,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,37,yes,37,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,55,yes,55,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,6,yes,6,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,70,yes,70,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,-1,yes,-1,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,25,yes,25,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,29,yes,29,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,60,yes,60,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,23,yes,23,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,98,yes,98,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,28,yes,28,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,44,yes,44,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,1,yes,1,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,-2,yes,-2,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,4,yes,4,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,-1,yes,-1,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,36,yes,36,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,36,yes,36,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,31,yes,31,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,30,yes,30,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,36,yes,36,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,28,yes,28,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,25,yes,25,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,25,yes,25,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,28,yes,28,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,-1,yes,-1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr4,Carey2010,-1,yes,-1,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,55,yes,55,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,97,yes,97,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,127,yes,127,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,-1,yes,-1,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,35,yes,35,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,41,yes,41,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,78,yes,78,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,153,yes,153,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,155,yes,155,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,81,yes,81,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,80,yes,80,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,36,yes,36,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,22,yes,22,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,3,yes,3,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,21,yes,21,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,57,yes,57,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,85,yes,85,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,101,yes,101,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,131,yes,131,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,45,yes,45,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,32,yes,32,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,67,yes,67,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,45,yes,45,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,34,yes,34,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,18,yes,18,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,2,yes,2,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr4,Carey2010,0,yes,0,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr4,Carey2010,12,yes,12,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr4,Carey2010,5,yes,5,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr4,Carey2010,3,yes,3,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr4,Carey2010,21,yes,21,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr5,Carey2010,2,yes,2,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr5,Carey2010,-3,yes,-3,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr5,Carey2010,-1,yes,-1,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,6,yes,6,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,1,yes,1,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr5,Carey2010,1,yes,1,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr5,Carey2010,1,yes,1,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr5,Carey2010,0,yes,0,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,0,yes,0,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-9,yes,-9,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,7,yes,7,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-6,yes,-6,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-2,yes,-2,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,0,yes,0,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,3,yes,3,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-1,yes,-1,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,1,yes,1,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr5,Carey2010,9,yes,9,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr5,Carey2010,10,yes,10,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr5,Carey2010,0,yes,0,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,1,yes,1,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr5,Carey2010,-3,yes,-3,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,15,yes,15,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr5,Carey2010,-1,yes,-1,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,4,yes,4,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr5,Carey2010,1,yes,1,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,0,yes,0,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,1,yes,1,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,5,yes,5,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-7,yes,-7,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,2,yes,2,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,2,yes,2,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-6,yes,-6,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-6,yes,-6,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-6,yes,-6,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-2,yes,-2,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-2,yes,-2,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,8,yes,8,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-4,yes,-4,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-6,yes,-6,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-4,yes,-4,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-3,yes,-3,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,0,yes,0,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,4,yes,4,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-3,yes,-3,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,11,yes,11,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,20,yes,20,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,-5,yes,-5,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,2,yes,2,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,3,yes,3,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr5,Carey2010,1,yes,1,
